                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9375,                 1.9192,                 1.2208,                0.90427,                0.46522,                0.43053,                0.23209,                 1.4466,                0.99529,                 1.0354,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.5331,                 1.0733,                 1.0291,                0.81595,                0.58636,                0.58539,                0.31636,                 1.4069,                0.89307,                0.99625,             0.00019526,             0.00019526,             0.00019526
                      3,                 1.4827,                0.90407,                0.98587,                0.73906,                0.76908,                0.79153,                0.42951,                 1.3161,                0.86272,                0.98912,             0.00026739,             0.00026739,             0.00026739
                      4,                 1.5143,                0.89849,                 1.0207,                0.80722,                 0.8196,                0.78763,                0.36585,                 1.4204,                 1.1003,                 1.0096,             0.00031641,             0.00031641,             0.00031641
                      5,                 1.4358,                0.85238,                0.97639,                0.87519,                0.83333,                0.81669,                0.41506,                  1.337,                0.85097,                0.98439,             0.00034234,             0.00034234,             0.00034234
                      6,                 1.4724,                0.80727,                0.99281,                0.81407,                0.70731,                0.77732,                0.41186,                 1.3448,                 1.0403,                0.98607,             0.00034515,             0.00034515,             0.00034515
                      7,                 1.4065,                0.83568,                0.96992,                0.53619,                0.76784,                0.72095,                0.38287,                 1.4605,                 1.0402,                 1.0246,             0.00032486,             0.00032486,             0.00032486
                      8,                 1.4297,                0.75444,                0.99285,                0.79406,                0.79587,                0.77505,                0.42212,                 1.3618,                0.77302,                0.99443,             0.00028147,             0.00028147,             0.00028147
                      9,                 1.3736,                 0.7144,                0.98565,                0.86518,                 0.8107,                0.79438,                0.42531,                 1.3116,                0.75841,                0.98033,             0.00021498,             0.00021498,             0.00021498
                     10,                 1.3608,                 0.6822,                0.99229,                0.88091,                0.81836,                0.79556,                0.43862,                  1.287,                0.72279,                0.97083,             0.00012538,             0.00012538,             0.00012538
